Id,Tipo,Id Cliente,Importe final
Texto:1,2,1,696.000000
Texto:2,1,2,506.000000
Texto:3,1,3,456.500000
Texto:4,1,4,275.000000
Texto:5,1,5,385.000000
Texto:6,1,6,247.500000
Texto:7,2,7,720.000000
Texto:8,2,8,780.000000
Texto:9,1,9,396.000000
Texto:10,1,10,423.500000
Texto:11,1,11,396.000000
Texto:12,0,12,120.000000
Texto:13,1,13,495.000000
Texto:14,1,14,220.000000
Texto:15,1,15,407.000000
Texto:16,1,16,187.000000
Texto:17,1,17,478.500000
Texto:18,1,18,187.000000
Texto:19,0,19,100.000000
Texto:20,0,20,100.000000
Texto:21,1,21,291.500000
Texto:22,1,22,264.000000
Texto:23,1,23,341.000000
Texto:24,0,24,100.000000
Texto:25,0,25,150.000000
Texto:26,0,26,140.000000
Texto:27,1,27,253.000000
Texto:28,1,28,170.500000
Texto:29,0,29,80.000000
Texto:30,0,30,100.000000
Texto:31,0,31,80.000000
Texto:32,0,32,80.000000
Texto:33,0,33,90.000000
Texto:34,0,34,110.000000
Texto:35,1,35,253.000000
Texto:36,0,36,150.000000
Texto:37,1,37,286.000000
Texto:38,0,38,140.000000
Texto:39,1,39,247.500000
Texto:40,1,40,192.500000
Texto:41,0,41,100.000000
Texto:42,0,42,100.000000
Texto:43,0,43,100.000000
Texto:44,0,44,100.000000
Texto:45,0,45,75.000000
Texto:46,0,46,80.000000
Texto:47,0,47,90.000000
Texto:48,0,48,100.000000
Texto:49,0,49,110.000000
Texto:50,0,50,120.000000
